sort,expMetricId,MetricTab,MetricGroup,MetricName,VivaceName,ControlPopulation,ControlAverage,ControlStandardDeviation,TreatmentPopulation,TreatmentAverage,TreatmentStandardDeviation,AbsoluteObservedDelta,RelativeObservedDelta,AbsoluteMimimumDetectableAt80Power,RelativeMinimumDetectableAt80Power,ImpactOnTreatmentPopulation,ImpactType,pValue
721,TEMPLATE_Clicks_PDP_WB_PinToStart,PDP,Clicks,---- Pin to Start,TEMPLATE_Clicks_PDP_WB_PinToStart,134747,0.00667176,0.10050125,135307,0.00717627,0.12535058,0.00050451,0.07561878,0.00122467,0.18355975,165.706028,Observable but not Detected,0.24844648
722,TEMPLATE_Clicks_PDP_WB_PinToTaskbar,PDP,Clicks,---- Pin to Taskbar,TEMPLATE_Clicks_PDP_WB_PinToTaskbar,134747,0.00900206,0.11723897,135307,0.00866917,0.12148206,-0.0003329,-0.0369783,0.00128713,0.14298189,174.157822,Observable but not Detected,0.46872675
723,Clicks_PDP_WB_Tabs,PDP,Clicks,-- Tabs,Clicks_PDP_WB_Tabs,134747,0.10690405,0.71360531,135307,0.10574471,0.74909967,-0.0011593,-0.0108446,0.00788755,0.07378159,1067.24088,Observable but not Detected,0.68049705
724,Clicks_PDP_WB_Tabs_CompareEditions,PDP,Clicks,-- Compare Editions Tab,Clicks_PDP_WB_Tabs_CompareEditions,134747,0.00129873,0.0404776,135307,0.00126379,0.04093998,-3.49E-05,-0.0269013,0.00043893,0.33797189,59.3908832,Observable but not Detected,0.82353914
725,Clicks_PDP_WB_Tabs_Compare_ShopNowAll,PDP,Clicks,-- -- Shop Now clicks,Clicks_PDP_WB_Tabs_Compare_ShopNowAll,134747,0.00011874,0.01334537,135307,0.00011825,0.01331772,-4.91E-07,-0.0041387,0.00014374,1.21057085,19.4496305,Observable but not Detected,0.99235787
726,Clicks_PDP_WB_Tabs_Compare_GamePass,PDP,Clicks,-- -- Game Pass clicks,Clicks_PDP_WB_Tabs_Compare_GamePass,134747,7.42E-06,0.00272421,135307,7.39E-06,0.00271857,-3.07E-08,-0.0041387,2.93E-05,3.95384937,3.97028132,Observable but not Detected,0.99766014
727,Clicks_PDP_WB_Tabs_Reviews,PDP,Clicks,-- Reviews Tab,Clicks_PDP_WB_Tabs_Reviews,134747,0.02324356,0.25779811,135307,0.02533498,0.31211752,0.00209142,0.08997842,0.00308581,0.13275963,417.531198,Observable but not Detected,0.05759363
728,Clicks_PDP_WB_Tabs_Related,PDP,Clicks,-- Related Tab,Clicks_PDP_WB_Tabs_Related,134747,0.0154586,0.17534324,135307,0.01495119,0.17699482,-0.0005074,-0.0328241,0.0018995,0.12287666,257.015811,Observable but not Detected,0.45422594
729,TEMPLATE_Clicks_PDP_WB_Screenshots,PDP,Clicks,-- Screenshots,TEMPLATE_Clicks_PDP_WB_Screenshots,134747,0.09260317,0.90957311,135307,0.09582653,1.21852116,0.00322335,0.03480823,0.01158968,0.12515419,1568.16426,Observable but not Detected,0.43587166
730,TEMPLATE_Clicks_PDP_WB_InstallOnMyDevices,PDP,Clicks,-- Install on my Devices,TEMPLATE_Clicks_PDP_WB_InstallOnMyDevices,134747,0.05399007,0.47855021,135307,0.05163074,0.42963227,-0.0023593,-0.0436994,0.00490377,0.09082725,663.514323,Observable but not Detected,0.17768611
731,TEMPLATE_Clicks_PDP_WB_AddOns,PDP,Clicks,-- Add Ons,TEMPLATE_Clicks_PDP_WB_AddOns,134747,0.01210417,0.27751302,135307,0.01166237,0.25036884,-0.0004418,-0.0364996,0.00284994,0.23545121,385.616897,Observable but not Detected,0.66406969
732,TEMPLATE_PDPVideoStart_BT5P2X999VH2,PDP,Video Clicks,Fortnite Video Start,TEMPLATE_PDPVideoStart_BT5P2X999VH2,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
733,TEMPLATE_PDPVideoPause_BT5P2X999VH2,PDP,Video Clicks,Fortnite Video Pause,TEMPLATE_PDPVideoPause_BT5P2X999VH2,134747,0.00027459,0.02655099,135307,0.00025128,0.01960232,-2.33E-05,-0.0848842,0.0002517,0.91664113,34.0566735,Observable but not Detected,0.79529845
734,TEMPLATE_PDPVideoContinue_BT5P2X999VH2,PDP,Video Clicks,Fortnite Video Continue,TEMPLATE_PDPVideoContinue_BT5P2X999VH2,134747,0.00132842,0.08930962,135307,0.00121945,0.06108022,-0.000109,-0.0820273,0.00082524,0.6212217,111.660819,Observable but not Detected,0.71143738
735,TEMPLATE_PDPVideoStart_BQZ10L79X0FP,PDP,Video Clicks,Call of Cthulhu Video Start,TEMPLATE_PDPVideoStart_BQZ10L79X0FP,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
736,TEMPLATE_PDPVideoPause_BQZ10L79X0FP,PDP,Video Clicks,Call of Cthulhu Video Pause,TEMPLATE_PDPVideoPause_BQZ10L79X0FP,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
737,TEMPLATE_PDPVideoContinue_BQZ10L79X0FP,PDP,Video Clicks,Call of Cthulhu Video Continue,TEMPLATE_PDPVideoContinue_BQZ10L79X0FP,134747,0,0,135307,7.39E-06,0.00271857,7.39E-06,Infinity,2.07E-05,null,2.8015852,Observable but not Detected,0.3173123
738,TEMPLATE_PDPVideoStart_9P9KN2G4M2W0,PDP,Video Clicks,NBA 2K20 Video Start,TEMPLATE_PDPVideoStart_9P9KN2G4M2W0,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
739,TEMPLATE_PDPVideoPause_9P9KN2G4M2W0,PDP,Video Clicks,NBA 2K20 Video Pause,TEMPLATE_PDPVideoPause_9P9KN2G4M2W0,134747,0,0,135307,7.39E-06,0.00271857,7.39E-06,Infinity,2.07E-05,null,2.8015852,Observable but not Detected,0.3173123
740,TEMPLATE_PDPVideoContinue_9P9KN2G4M2W0,PDP,Video Clicks,NBA 2K20 Video Continue,TEMPLATE_PDPVideoContinue_9P9KN2G4M2W0,134747,1.48E-05,0.00544842,135307,7.39E-06,0.00271857,-7.45E-06,-0.5020694,4.65E-05,3.12967905,6.28537159,Observable but not Detected,0.65311773
741,TEMPLATE_PDPVideoStart_BPJ686W6S0NH,PDP,Video Clicks,Grand Theft Auto V Video Start,TEMPLATE_PDPVideoStart_BPJ686W6S0NH,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
742,TEMPLATE_PDPVideoPause_BPJ686W6S0NH,PDP,Video Clicks,Grand Theft Auto V Video Pause,TEMPLATE_PDPVideoPause_BPJ686W6S0NH,134747,2.97E-05,0.01089684,135307,0.00011825,0.03123384,8.86E-05,2.98344505,0.000252,8.48921708,34.0979909,Observable but not Detected,0.32482824
743,TEMPLATE_PDPVideoContinue_BPJ686W6S0NH,PDP,Video Clicks,Grand Theft Auto V Video Continue,TEMPLATE_PDPVideoContinue_BPJ686W6S0NH,134747,0.000141,0.01701216,135307,0.00024389,0.04272508,0.00010288,0.72965377,0.00035035,2.484689,47.405289,Observable but not Detected,0.41067204
744,TEMPLATE_PDPVideoStart_BV433V4B23LM,PDP,Video Clicks,EA SPORTS FIFA 20 Video Start,TEMPLATE_PDPVideoStart_BV433V4B23LM,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
745,TEMPLATE_PDPVideoPause_BV433V4B23LM,PDP,Video Clicks,EA SPORTS FIFA 20 Video Pause,TEMPLATE_PDPVideoPause_BV433V4B23LM,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
746,TEMPLATE_PDPVideoContinue_BV433V4B23LM,PDP,Video Clicks,EA SPORTS FIFA 20 Video Continue,TEMPLATE_PDPVideoContinue_BV433V4B23LM,134747,7.42E-06,0.00272421,135307,0,0,-7.42E-06,-1,2.08E-05,2.8015852,2.81322841,Observable but not Detected,0.3173123
747,TEMPLATE_PDPVideoStart_BV9ML45J2Q5V,PDP,Video Clicks,Apex Legends Video Start,TEMPLATE_PDPVideoStart_BV9ML45J2Q5V,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
748,TEMPLATE_PDPVideoPause_BV9ML45J2Q5V,PDP,Video Clicks,Apex Legends Video Pause,TEMPLATE_PDPVideoPause_BV9ML45J2Q5V,134747,2.97E-05,0.00667288,135307,2.22E-05,0.00470866,-7.51E-06,-0.2531041,6.23E-05,2.09828033,8.42800261,Observable but not Detected,0.7354088
749,TEMPLATE_PDPVideoContinue_BV9ML45J2Q5V,PDP,Video Clicks,Apex Legends Video Continue,TEMPLATE_PDPVideoContinue_BV9ML45J2Q5V,134747,0.0001039,0.01218264,135307,0.00012564,0.01561652,2.17E-05,0.20926011,0.00015097,1.45305116,20.4272593,Observable but not Detected,0.68660412
750,TEMPLATE_PDPVideoStart_C125W9BG2K0V,PDP,Video Clicks,Rocket League Video Start,TEMPLATE_PDPVideoStart_C125W9BG2K0V,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
751,TEMPLATE_PDPVideoPause_C125W9BG2K0V,PDP,Video Clicks,Rocket League Video Pause,TEMPLATE_PDPVideoPause_C125W9BG2K0V,134747,9.65E-05,0.01055041,135307,4.43E-05,0.00768917,-5.21E-05,-0.5403717,9.96E-05,1.03201697,13.4719775,Observable but not Detected,0.14239617
752,TEMPLATE_PDPVideoContinue_C125W9BG2K0V,PDP,Video Clicks,Rocket League Video Continue,TEMPLATE_PDPVideoContinue_C125W9BG2K0V,134747,0.00036364,0.03347379,135307,0.00025128,0.02241654,-0.0001124,-0.3089942,0.00030727,0.84498231,41.5762061,Observable but not Detected,0.30560622
753,TEMPLATE_PDPVideoStart_C496CLVXMJP8,PDP,Video Clicks,Grand Theft Auto V Premium Edition Video Start,TEMPLATE_PDPVideoStart_C496CLVXMJP8,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
754,TEMPLATE_PDPVideoPause_C496CLVXMJP8,PDP,Video Clicks,Grand Theft Auto V Premium Edition Video Pause,TEMPLATE_PDPVideoPause_C496CLVXMJP8,134747,7.42E-06,0.00272421,135307,0,0,-7.42E-06,-1,2.08E-05,2.8015852,2.81322841,Observable but not Detected,0.3173123
755,TEMPLATE_PDPVideoContinue_C496CLVXMJP8,PDP,Video Clicks,Grand Theft Auto V Premium Edition Video Continue,TEMPLATE_PDPVideoContinue_C496CLVXMJP8,134747,1.48E-05,0.0038526,135307,2.22E-05,0.00607888,7.33E-06,0.4937919,5.48E-05,3.69518736,7.42108866,Observable but not Detected,0.70812281
756,TEMPLATE_PDPVideoStart_BQVQTL3PCH05,PDP,Video Clicks,No Mans Sky Video Start,TEMPLATE_PDPVideoStart_BQVQTL3PCH05,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
757,TEMPLATE_PDPVideoPause_BQVQTL3PCH05,PDP,Video Clicks,No Mans Sky Video Pause,TEMPLATE_PDPVideoPause_BQVQTL3PCH05,134747,9.65E-05,0.01123183,135307,0.00013303,0.01631091,3.66E-05,0.37888483,0.00015093,1.5644557,20.4224473,Observable but not Detected,0.49745743
758,TEMPLATE_PDPVideoContinue_BQVQTL3PCH05,PDP,Video Clicks,No Mans Sky Video Continue,TEMPLATE_PDPVideoContinue_BQVQTL3PCH05,134747,0.00103898,0.07951055,135307,0.00075384,0.05597383,-0.0002851,-0.2744439,0.00074161,0.71378605,100.345351,Observable but not Detected,0.28139968
759,TEMPLATE_PDPVideoStart_C2CSDTSCBZ0C,PDP,Video Clicks,STAR WARS Jedi Fallen Order Video Start,TEMPLATE_PDPVideoStart_C2CSDTSCBZ0C,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
760,TEMPLATE_PDPVideoPause_C2CSDTSCBZ0C,PDP,Video Clicks,STAR WARS Jedi Fallen Order Video Pause,TEMPLATE_PDPVideoPause_C2CSDTSCBZ0C,134747,0,0,135307,7.39E-06,0.00271857,7.39E-06,Infinity,2.07E-05,null,2.8015852,Observable but not Detected,0.3173123
761,TEMPLATE_PDPVideoContinue_C2CSDTSCBZ0C,PDP,Video Clicks,STAR WARS Jedi Fallen Order Video Continue,TEMPLATE_PDPVideoContinue_C2CSDTSCBZ0C,134747,7.42E-06,0.00272421,135307,2.96E-05,0.00543707,2.21E-05,2.98344505,4.63E-05,6.24374648,6.26969509,Observable but not Detected,0.18067655
762,TEMPLATE_PDPVideoStart_C492DG1TQQ09,PDP,Video Clicks,COD Black Ops III Zombies Chronicles Edition Video Start,TEMPLATE_PDPVideoStart_C492DG1TQQ09,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
763,TEMPLATE_PDPVideoPause_C492DG1TQQ09,PDP,Video Clicks,COD Black Ops III Zombies Chronicles Edition Video Pause,TEMPLATE_PDPVideoPause_C492DG1TQQ09,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
764,TEMPLATE_PDPVideoContinue_C492DG1TQQ09,PDP,Video Clicks,COD Black Ops III Zombies Chronicles Edition Video Continue,TEMPLATE_PDPVideoContinue_C492DG1TQQ09,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
765,TEMPLATE_PDPVideoStart_BZ289TV4QVCK,PDP,Video Clicks,Madden NFL 20 Video Start,TEMPLATE_PDPVideoStart_BZ289TV4QVCK,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
766,TEMPLATE_PDPVideoPause_BZ289TV4QVCK,PDP,Video Clicks,Madden NFL 20 Video Pause,TEMPLATE_PDPVideoPause_BZ289TV4QVCK,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
767,TEMPLATE_PDPVideoContinue_BZ289TV4QVCK,PDP,Video Clicks,Madden NFL 20 Video Continue,TEMPLATE_PDPVideoContinue_BZ289TV4QVCK,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
768,TEMPLATE_PDPVideoStart_9PNJXVCVWD4K,PDP,Video Clicks,Forza Horizon 4 Standard Edition Video Start,TEMPLATE_PDPVideoStart_9PNJXVCVWD4K,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
769,TEMPLATE_PDPVideoPause_9PNJXVCVWD4K,PDP,Video Clicks,Forza Horizon 4 Standard Edition Video Pause,TEMPLATE_PDPVideoPause_9PNJXVCVWD4K,134747,0.00057886,0.03466882,135307,0.00043605,0.02704597,-0.0001428,-0.2467203,0.00033533,0.57928285,45.3718441,Observable but not Detected,0.23278695
770,TEMPLATE_PDPVideoContinue_9PNJXVCVWD4K,PDP,Video Clicks,Forza Horizon 4 Standard Edition Video Continue,TEMPLATE_PDPVideoContinue_9PNJXVCVWD4K,134747,0.00437858,0.12600557,135307,0.00343663,0.10769823,-0.0009419,-0.2151263,0.00126399,0.28867614,-127.452,Actual Detected,0.0368179
771,TEMPLATE_PDPVideoStart_BQ1W1T1FC14W,PDP,Video Clicks,The Elder Scrolls V Skyrim Special Edition Video Start,TEMPLATE_PDPVideoStart_BQ1W1T1FC14W,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
772,TEMPLATE_PDPVideoPause_BQ1W1T1FC14W,PDP,Video Clicks,The Elder Scrolls V Skyrim Special Edition Video Pause,TEMPLATE_PDPVideoPause_BQ1W1T1FC14W,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
773,TEMPLATE_PDPVideoContinue_BQ1W1T1FC14W,PDP,Video Clicks,The Elder Scrolls V Skyrim Special Edition Video Continue,TEMPLATE_PDPVideoContinue_BQ1W1T1FC14W,134747,7.42E-06,0.00272421,135307,5.91E-05,0.01275111,5.17E-05,6.96689011,9.93E-05,13.3826551,13.4382726,Observable but not Detected,0.14471038
774,TEMPLATE_PDPViews_9NV7PVN0ZXV6,PDP,PDP Views Product Breakdown,Adobe Photoshop Elements 2019 PDP Page Views,TEMPLATE_PDPViews_9NV7PVN0ZXV6,134747,0.00084603,0.04094526,135307,0.00116032,0.05004084,0.00031429,0.37149314,0.00049286,0.58255757,66.6875655,Observable but not Detected,0.07401101
775,TEMPLATE_PDPViews_9WZDNCRFJ27N,PDP,PDP Views Product Breakdown,Adobe Photoshop Express PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFJ27N,134747,0.00748811,0.13074676,135307,0.00726496,0.12675267,-0.0002231,-0.0298002,0.00138842,0.18541714,187.863409,Observable but not Detected,0.65251629
776,TEMPLATE_PDPViews_9PL3B0VQLQQ8,PDP,PDP Views Product Breakdown,Candy Crush Friends Saga PDP Page Views,TEMPLATE_PDPViews_9PL3B0VQLQQ8,134747,0.00106125,0.04382931,135307,0.00145595,0.05304451,0.0003947,0.37192076,0.00052451,0.49424257,53.4057011,Actual Detected,0.03501368
777,TEMPLATE_PDPViews_9WZDNCRFHWQT,PDP,PDP Views Product Breakdown,Drawboard PDF PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFHWQT,134747,0.00561051,0.1306989,135307,0.0055799,0.12490036,-3.06E-05,-0.005456,0.00137839,0.24567927,186.505424,Observable but not Detected,0.95038988
778,TEMPLATE_PDPViews_9PNJXVCVWD4K,PDP,PDP Views Product Breakdown,Forza Horizon 4 Standard Edition PDP Page Views,TEMPLATE_PDPViews_9PNJXVCVWD4K,134747,0.01163662,0.20810885,135307,0.0106129,0.20815772,-0.0010237,-0.087974,0.00224414,0.19285191,303.64851,Observable but not Detected,0.20124704
779,TEMPLATE_PDPViews_9MV0B5HZVK9Z,PDP,PDP Views Product Breakdown,Garrison PDP Page Views,TEMPLATE_PDPViews_9MV0B5HZVK9Z,134747,0.02431223,0.25281508,135307,0.02458853,0.25068741,0.0002763,0.0113646,0.00271449,0.11165135,367.289935,Observable but not Detected,0.77551909
780,TEMPLATE_PDPViews_9PB2MZ1ZMB1S,PDP,PDP Views Product Breakdown,iTunes PDP Page Views,TEMPLATE_PDPViews_9PB2MZ1ZMB1S,134747,0.05381938,0.40312648,135307,0.05332318,0.40648187,-0.0004962,-0.0092197,0.0043647,0.08109905,590.574514,Observable but not Detected,0.75010949
781,TEMPLATE_PDPViews_9N4KM90CTZT6,PDP,PDP Views Product Breakdown,Minecraft for Windows 10 Starter Collection PDP Page Views,TEMPLATE_PDPViews_9N4KM90CTZT6,134747,0.04049812,0.35389697,135307,0.04078872,0.35387346,0.00029061,0.0071758,0.00381568,0.09421869,516.288166,Observable but not Detected,0.83103722
782,TEMPLATE_PDPViews_9WZDNCRFJ3TJ,PDP,PDP Views Product Breakdown,Netflix PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFJ3TJ,134747,0.05465057,0.36140394,135307,0.05364837,0.36143328,-0.0010022,-0.0183383,0.00389691,0.07130587,527.278663,Observable but not Detected,0.47121459
783,TEMPLATE_PDPViews_9NBLGGGZM6WM,PDP,PDP Views Product Breakdown,ROBLOX PDP Page Views,TEMPLATE_PDPViews_9NBLGGGZM6WM,134747,0.15843024,1.31302234,135307,0.16219412,1.38553655,0.00376388,0.02375732,0.01455271,0.09185564,1969.08372,Observable but not Detected,0.46870101
784,TEMPLATE_PDPViews_9NCBCSZSJRSB,PDP,PDP Views Product Breakdown,Spotify PDP Page Views,TEMPLATE_PDPViews_9NCBCSZSJRSB,134747,0.04811239,0.33871465,135307,0.04891099,0.360376,0.00079861,0.01659877,0.00377045,0.0783676,510.168595,Observable but not Detected,0.55291789
785,TEMPLATE_PDPViews_9NKSQGP7F2NH,PDP,PDP Views Product Breakdown,WhatsApp Desktop PDP Page Views,TEMPLATE_PDPViews_9NKSQGP7F2NH,134747,0.01929542,0.23035093,135307,0.01856519,0.22158252,-0.0007302,-0.0378448,0.00243699,0.12629871,329.74135,Observable but not Detected,0.40119977
786,TEMPLATE_PDPViews_9NBLGGH5L9XT,PDP,PDP Views Product Breakdown,Instagram PDP Page Views,TEMPLATE_PDPViews_9NBLGGH5L9XT,134747,0.0223159,0.33852627,135307,0.02296999,0.37764347,0.00065409,0.02931054,0.00386628,0.17325226,523.134667,Observable but not Detected,0.63552328
787,TEMPLATE_PDPViews_9WZDNCRFJ2WL,PDP,PDP Views Product Breakdown,Facebook PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFJ2WL,134747,0.00027459,0.02359083,135307,0.00024389,0.02088035,-3.07E-05,-0.1117994,0.00024022,0.87485364,32.5041106,Observable but not Detected,0.72032822
788,TEMPLATE_PDPViews_9WZDNCRF0083,PDP,PDP Views Product Breakdown,Messenger PDP Page Views,TEMPLATE_PDPViews_9WZDNCRF0083,134747,0.02573712,1.37073646,135307,0.02345038,0.24967411,-0.0022867,-0.0888501,0.01063302,0.41313957,1438.72254,Observable but not Detected,0.54683493
789,TEMPLATE_PDPViews_9NBLGGH4VVNH,PDP,PDP Views Product Breakdown,VLC PDP Page Views,TEMPLATE_PDPViews_9NBLGGH4VVNH,134747,0.00665692,0.12481054,135307,0.00622289,0.11914561,-0.000434,-0.0652005,0.00131562,0.19763136,178.012073,Observable but not Detected,0.3553468
790,TEMPLATE_PDPViews_9NBLGGH67WLK,PDP,PDP Views Product Breakdown,PDF Reader PDP Page Views,TEMPLATE_PDPViews_9NBLGGH67WLK,134747,0.00420046,0.10125973,135307,0.00431611,0.10220831,0.00011565,0.02753176,0.00109692,0.26114328,148.421375,Observable but not Detected,0.76771531
791,TEMPLATE_PDPViews_9WZDNCRFJ3PV,PDP,PDP Views Product Breakdown,Windows Scan PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFJ3PV,134747,0.00743616,0.13870929,135307,0.00782665,0.14038784,0.00039049,0.05251205,0.00150466,0.20234322,203.590512,Observable but not Detected,0.46718579
792,TEMPLATE_PDPViews_9N0866FS04W8,PDP,PDP Views Product Breakdown,Dolby Access PDP Page Views,TEMPLATE_PDPViews_9N0866FS04W8,134747,0.00472738,0.09700626,135307,0.00484084,0.10866925,0.00011347,0.02400177,0.00111047,0.23490265,150.254854,Observable but not Detected,0.77467996
793,TEMPLATE_PDPViews_cfq7ttc0k5dm,PDP,PDP Views Product Breakdown,Office 365 Home PDP Page Views,TEMPLATE_PDPViews_cfq7ttc0k5dm,134747,0.00154363,0.0539147,135307,0.00158898,0.04586733,4.53E-05,0.02937583,0.00053977,0.34967736,73.035165,Observable but not Detected,0.81393215
794,TEMPLATE_PDPViews_cfq7ttc0k5bf,PDP,PDP Views Product Breakdown,Office 365 Personal PDP Page Views,TEMPLATE_PDPViews_cfq7ttc0k5bf,134747,0.03103594,0.25436401,135307,0.03165394,0.23745833,0.000618,0.01991243,0.00265323,0.08548898,359.000715,Observable but not Detected,0.51404289
795,TEMPLATE_PDPViews_9P2CPMVCW0LX,PDP,PDP Views Product Breakdown,Nitrado PDP Page Views,TEMPLATE_PDPViews_9P2CPMVCW0LX,134747,0.00046012,0.02958902,135307,0.00038431,0.02718304,-7.58E-05,-0.1647615,0.00030637,0.66583909,41.4535891,Observable but not Detected,0.48815282
796,TEMPLATE_PDPViews_9P44LN06B7JF,PDP,PDP Views Product Breakdown,DC Universe PDP Page Views,TEMPLATE_PDPViews_9P44LN06B7JF,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
797,TEMPLATE_PDPViews_9NXQXXLFST89,PDP,PDP Views Product Breakdown,Disney+ PDP Page Views,TEMPLATE_PDPViews_9NXQXXLFST89,134747,0.00566989,0.12482955,135307,0.00525472,0.10582435,-0.0004152,-0.0732234,0.00124791,0.2200944,168.850949,Observable but not Detected,0.35130572
798,TEMPLATE_PDPViews_9WZDNCRFJ3L1,PDP,PDP Views Product Breakdown,Hulu PDP Page Views,TEMPLATE_PDPViews_9WZDNCRFJ3L1,134747,8.16E-05,0.01467014,135307,0.00017737,0.02174788,9.57E-05,1.17278821,0.00019993,2.44908751,27.0519234,Observable but not Detected,0.17973094
799,TEMPLATE_PDPViews_9NBLGGH4X7WP,PDP,PDP Views Product Breakdown,Sling TV PDP Page Views,TEMPLATE_PDPViews_9NBLGGH4X7WP,134747,7.42E-06,0.00272421,135307,2.22E-05,0.0081557,1.48E-05,1.98758379,6.55E-05,8.82639713,8.86307908,Observable but not Detected,0.52812076
800,TEMPLATE_PDPViews_9NBLGGH510WB,PDP,PDP Views Product Breakdown,STARZ PDP Page Views,TEMPLATE_PDPViews_9NBLGGH510WB,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
801,TEMPLATE_PDPViews_9NBLGGH4V9DB,PDP,PDP Views Product Breakdown,VRV PDP Page Views,TEMPLATE_PDPViews_9NBLGGH4V9DB,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
802,TEMPLATE_PDPViews_9MWWNMH6Z0JH,PDP,PDP Views Product Breakdown,COD Warzone PDP Page Views,TEMPLATE_PDPViews_9MWWNMH6Z0JH,134747,0.00057144,0.03477581,135307,0.00033258,0.02322514,-0.0002389,-0.4180032,0.00031896,0.5581628,-32.320007,Actual Detected,0.03589895
803,TEMPLATE_PDPViews_9NVQBQ3F6W9W,PDP,PDP Views Product Breakdown,COD MW Digital Standard Edition PDP Page Views,TEMPLATE_PDPViews_9NVQBQ3F6W9W,134747,7.42E-05,0.00943668,135307,6.65E-05,0.00815546,-7.70E-06,-0.1037249,9.51E-05,1.28153695,12.8686293,Observable but not Detected,0.82061496
804,TEMPLATE_PDPViews_9NVD608BD8VC,PDP,PDP Views Product Breakdown,COD MW Battle Pass Edition PDP Page Views,TEMPLATE_PDPViews_9NVD608BD8VC,134747,2.23E-05,0.00471843,135307,7.39E-06,0.00271857,-1.49E-05,-0.6680462,4.15E-05,1.86578356,5.62061291,Observable but not Detected,0.31580832
805,TEMPLATE_PDPViews_C0DGJD9BNJ73,PDP,PDP Views Product Breakdown,DOOM Eternal Standard Edition PDP Page Views,TEMPLATE_PDPViews_C0DGJD9BNJ73,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
806,TEMPLATE_PDPViews_C1BP73HRFT2P,PDP,PDP Views Product Breakdown,DOOM Eternal Deluxe Edition PDP Page Views,TEMPLATE_PDPViews_C1BP73HRFT2P,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
807,TEMPLATE_PDPViews_9N8C9MNVQ8GS,PDP,PDP Views Product Breakdown,Madden NFL 21 Standard PreOrder PDP Page Views,TEMPLATE_PDPViews_9N8C9MNVQ8GS,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
808,TEMPLATE_PDPViews_9PMQK6DG58D7,PDP,PDP Views Product Breakdown,Madden NFL 21 Deluxe PreOrder PDP Page Views,TEMPLATE_PDPViews_9PMQK6DG58D7,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
809,TEMPLATE_PDPViews_9NL8CDTLHMB5,PDP,PDP Views Product Breakdown,Madden NFL 21 MVP PreOrder PDP Page Views,TEMPLATE_PDPViews_9NL8CDTLHMB5,134747,0,0,135307,0,0,0,NaN,0,null,0,Observable but not Detected,1
810,TEMPLATE_PDPClicks_9NV7PVN0ZXV6,PDP,PDP Clicks Product Breakdown,Adobe Photoshop Elements 2019 PDP Clicks,TEMPLATE_PDPClicks_9NV7PVN0ZXV6,134747,0.00123194,0.08189873,135307,0.00161115,0.09533053,0.00037921,0.3078178,0.00095806,0.77768138,129.63162,Observable but not Detected,0.26747049
811,TEMPLATE_PDPClicks_9WZDNCRFJ27N,PDP,PDP Clicks Product Breakdown,Adobe Photoshop Express PDP Clicks,TEMPLATE_PDPClicks_9WZDNCRFJ27N,134747,0.01145109,0.26796309,135307,0.01168454,0.27698176,0.00023345,0.02038669,0.00293817,0.25658411,397.554654,Observable but not Detected,0.82384877
